cleaned_city_1,cleaned_city_2,original_city_1,original_city_2
Izhevsk,Vilnius,Izhevsk,Vilnius
Izhevsk,Debrecen,Izhevsk,Debrecen
Izhevsk,Lesquin,Izhevsk,Lesquin
Izhevsk,Perugia,Izhevsk,Perugia
Izhevsk,Lisbon,Izhevsk,Lisbon
Izhevsk,Gothenburg,Izhevsk,Gothenburg
Izhevsk,Ponta Delgada,Izhevsk,Ponta Delgada
Izhevsk,Ancona,Izhevsk,Ancona
Izhevsk,Ålesund,Izhevsk,Ålesund
Izhevsk,Manchester,Izhevsk,Manchester
Izhevsk,Vágar,Izhevsk,Vágar
Izhevsk,Funchal,Izhevsk,Funchal
Izhevsk,Krasnoyarsk,Izhevsk,Krasnoyarsk
Izhevsk,Syktyvkar,Izhevsk,Syktyvkar
Izhevsk,Pescara,Izhevsk,Pescara
Izhevsk,Bragança,Izhevsk,Bragança
Izhevsk,Wrocław,Izhevsk,Wrocław
Krasnodar,Parma ,Krasnodar,Parma (PR)
Krasnodar,Catania,Krasnodar,Catania
Krasnodar,Bodø,Krasnodar,Bodø
Krasnodar,Bournemouth,Krasnodar,Bournemouth
Krasnodar,Murmansk,Krasnodar,Murmansk
Krasnodar,Frankfurt am Main,Krasnodar,Frankfurt am Main
Krasnodar,Umeå,Krasnodar,Umeå
Krasnodar,Łódź,Krasnodar,Łódź
Krasnodar,Genova ,Krasnodar,Genova (GE)
Krasnodar,Almería,Krasnodar,Almería
Krasnodar,Crete Island,Krasnodar,Crete Island
Krasnodar,Ivalo,Krasnodar,Ivalo
Krasnodar,Ivanovo,Krasnodar,Ivanovo
Krasnodar,Vigo,Krasnodar,Vigo
Krasnodar,Minsk,Krasnodar,Minsk
Krasnodar,Seville,Krasnodar,Sevilla
Krasnodar,Girona,Krasnodar,Girona
Krasnodar,Magnitogorsk,Krasnodar,Magnitogorsk
Krasnodar,Zgornji Brnik,Krasnodar,Zgornji Brnik
Krasnodar,Cherepovets,Krasnodar,Cherepovets
Krasnodar,Pisa,Krasnodar,Pisa
Krasnodar,Valletta,Krasnodar,Valletta
Krasnodar,Voronezh,Krasnodar,Voronezh
Krasnodar,Vila Real,Krasnodar,Vila Real
Krasnodar,Penza,Krasnodar,Penza
Krasnodar,Makhachkala,Krasnodar,Makhachkala
Krasnodar,Spata-Artemida,Krasnodar,Spata-Artemida
Krasnodar,"Luton, Bedfordshire",Krasnodar,"Luton, Bedfordshire"
Krasnodar,Čilipi,Krasnodar,Čilipi
Krasnodar,Olbia ,Krasnodar,Olbia (SS)
Krasnodar,Hanover,Krasnodar,Hannover
Krasnodar,"Norwich, Norfolk",Krasnodar,"Norwich, Norfolk"
Krasnodar,Nottingham,Krasnodar,Nottingham
Krasnodar,Sibiu,Krasnodar,Sibiu
Krasnodar,Saint Anne,Krasnodar,Saint Anne
Krasnodar,Maastricht,Krasnodar,Maastricht
Krasnodar,Vilnius,Krasnodar,Vilnius
Krasnodar,Debrecen,Krasnodar,Debrecen
Krasnodar,Lesquin,Krasnodar,Lesquin
Krasnodar,Perugia,Krasnodar,Perugia
Krasnodar,Lisbon,Krasnodar,Lisbon
Krasnodar,Gothenburg,Krasnodar,Gothenburg
Krasnodar,Ponta Delgada,Krasnodar,Ponta Delgada
Krasnodar,Ancona,Krasnodar,Ancona
Krasnodar,Ålesund,Krasnodar,Ålesund
Krasnodar,Manchester,Krasnodar,Manchester
Krasnodar,Vágar,Krasnodar,Vágar
Krasnodar,Funchal,Krasnodar,Funchal
Krasnodar,Krasnoyarsk,Krasnodar,Krasnoyarsk
Krasnodar,Syktyvkar,Krasnodar,Syktyvkar
Krasnodar,Pescara,Krasnodar,Pescara
Krasnodar,Bragança,Krasnodar,Bragança
Krasnodar,Wrocław,Krasnodar,Wrocław
Parma ,Catania,Parma (PR),Catania
Parma ,Bodø,Parma (PR),Bodø
Parma ,Bournemouth,Parma (PR),Bournemouth
Parma ,Murmansk,Parma (PR),Murmansk
Parma ,Frankfurt am Main,Parma (PR),Frankfurt am Main
Parma ,Umeå,Parma (PR),Umeå
Parma ,Łódź,Parma (PR),Łódź
Parma ,Genova ,Parma (PR),Genova (GE)
Parma ,Almería,Parma (PR),Almería
Parma ,Crete Island,Parma (PR),Crete Island
Parma ,Ivalo,Parma (PR),Ivalo
Parma ,Ivanovo,Parma (PR),Ivanovo
Parma ,Vigo,Parma (PR),Vigo
Parma ,Minsk,Parma (PR),Minsk
Parma ,Seville,Parma (PR),Sevilla
Parma ,Girona,Parma (PR),Girona
Parma ,Magnitogorsk,Parma (PR),Magnitogorsk
Parma ,Zgornji Brnik,Parma (PR),Zgornji Brnik
Parma ,Cherepovets,Parma (PR),Cherepovets
Parma ,Pisa,Parma (PR),Pisa
Parma ,Valletta,Parma (PR),Valletta
Parma ,Voronezh,Parma (PR),Voronezh
Parma ,Vila Real,Parma (PR),Vila Real
Parma ,Penza,Parma (PR),Penza
Parma ,Makhachkala,Parma (PR),Makhachkala
Parma ,Spata-Artemida,Parma (PR),Spata-Artemida
Parma ,"Luton, Bedfordshire",Parma (PR),"Luton, Bedfordshire"
Parma ,Čilipi,Parma (PR),Čilipi
Parma ,Olbia ,Parma (PR),Olbia (SS)
Parma ,Hanover,Parma (PR),Hannover
Parma ,"Norwich, Norfolk",Parma (PR),"Norwich, Norfolk"
Parma ,Nottingham,Parma (PR),Nottingham
Parma ,Sibiu,Parma (PR),Sibiu
Parma ,Saint Anne,Parma (PR),Saint Anne
Parma ,Maastricht,Parma (PR),Maastricht
Parma ,Vilnius,Parma (PR),Vilnius
Parma ,Debrecen,Parma (PR),Debrecen
Parma ,Lesquin,Parma (PR),Lesquin
Parma ,Perugia,Parma (PR),Perugia
Parma ,Lisbon,Parma (PR),Lisbon
Parma ,Gothenburg,Parma (PR),Gothenburg
Parma ,Ponta Delgada,Parma (PR),Ponta Delgada
Parma ,Ancona,Parma (PR),Ancona
Parma ,Ålesund,Parma (PR),Ålesund
Parma ,Manchester,Parma (PR),Manchester
Parma ,Vágar,Parma (PR),Vágar
Parma ,Funchal,Parma (PR),Funchal
Parma ,Krasnoyarsk,Parma (PR),Krasnoyarsk
Parma ,Syktyvkar,Parma (PR),Syktyvkar
Parma ,Pescara,Parma (PR),Pescara
Parma ,Bragança,Parma (PR),Bragança
Parma ,Wrocław,Parma (PR),Wrocław
Catania,Bodø,Catania,Bodø
Catania,Bournemouth,Catania,Bournemouth
Catania,Murmansk,Catania,Murmansk
Catania,Frankfurt am Main,Catania,Frankfurt am Main
Catania,Umeå,Catania,Umeå
Catania,Łódź,Catania,Łódź
Catania,Genova ,Catania,Genova (GE)
Catania,Almería,Catania,Almería
Catania,Crete Island,Catania,Crete Island
Catania,Ivalo,Catania,Ivalo
Catania,Ivanovo,Catania,Ivanovo
Catania,Vigo,Catania,Vigo
Catania,Minsk,Catania,Minsk
Catania,Seville,Catania,Sevilla
Catania,Girona,Catania,Girona
Catania,Magnitogorsk,Catania,Magnitogorsk
Catania,Zgornji Brnik,Catania,Zgornji Brnik
Catania,Cherepovets,Catania,Cherepovets
Catania,Pisa,Catania,Pisa
Catania,Valletta,Catania,Valletta
Catania,Voronezh,Catania,Voronezh
Catania,Vila Real,Catania,Vila Real
Catania,Penza,Catania,Penza
Catania,Makhachkala,Catania,Makhachkala
Catania,Spata-Artemida,Catania,Spata-Artemida
Catania,"Luton, Bedfordshire",Catania,"Luton, Bedfordshire"
Catania,Čilipi,Catania,Čilipi
Catania,Olbia ,Catania,Olbia (SS)
Catania,Hanover,Catania,Hannover
Catania,"Norwich, Norfolk",Catania,"Norwich, Norfolk"
Catania,Nottingham,Catania,Nottingham
Catania,Sibiu,Catania,Sibiu
Catania,Saint Anne,Catania,Saint Anne
Catania,Maastricht,Catania,Maastricht
Catania,Vilnius,Catania,Vilnius
Catania,Debrecen,Catania,Debrecen
Catania,Lesquin,Catania,Lesquin
Catania,Perugia,Catania,Perugia
Catania,Lisbon,Catania,Lisbon
Catania,Gothenburg,Catania,Gothenburg
Catania,Ponta Delgada,Catania,Ponta Delgada
Catania,Ancona,Catania,Ancona
Catania,Ålesund,Catania,Ålesund
Catania,Manchester,Catania,Manchester
Catania,Vágar,Catania,Vágar
Catania,Funchal,Catania,Funchal
Catania,Krasnoyarsk,Catania,Krasnoyarsk
Catania,Syktyvkar,Catania,Syktyvkar
Catania,Pescara,Catania,Pescara
Catania,Bragança,Catania,Bragança
Catania,Wrocław,Catania,Wrocław
Bodø,Bournemouth,Bodø,Bournemouth
Bodø,Murmansk,Bodø,Murmansk
Bodø,Frankfurt am Main,Bodø,Frankfurt am Main
Bodø,Umeå,Bodø,Umeå
Bodø,Łódź,Bodø,Łódź
Bodø,Genova ,Bodø,Genova (GE)
Bodø,Almería,Bodø,Almería
Bodø,Crete Island,Bodø,Crete Island
Bodø,Ivalo,Bodø,Ivalo
Bodø,Ivanovo,Bodø,Ivanovo
Bodø,Vigo,Bodø,Vigo
Bodø,Minsk,Bodø,Minsk
Bodø,Seville,Bodø,Sevilla
Bodø,Girona,Bodø,Girona
Bodø,Magnitogorsk,Bodø,Magnitogorsk
Bodø,Zgornji Brnik,Bodø,Zgornji Brnik
Bodø,Cherepovets,Bodø,Cherepovets
Bodø,Pisa,Bodø,Pisa
Bodø,Valletta,Bodø,Valletta
Bodø,Voronezh,Bodø,Voronezh
Bodø,Vila Real,Bodø,Vila Real
Bodø,Penza,Bodø,Penza
Bodø,Makhachkala,Bodø,Makhachkala
Bodø,Spata-Artemida,Bodø,Spata-Artemida
Bodø,"Luton, Bedfordshire",Bodø,"Luton, Bedfordshire"
Bodø,Čilipi,Bodø,Čilipi
Bodø,Olbia ,Bodø,Olbia (SS)
Bodø,Hanover,Bodø,Hannover
Bodø,"Norwich, Norfolk",Bodø,"Norwich, Norfolk"
Bodø,Nottingham,Bodø,Nottingham
Bodø,Sibiu,Bodø,Sibiu
Bodø,Saint Anne,Bodø,Saint Anne
Bodø,Maastricht,Bodø,Maastricht
Bodø,Vilnius,Bodø,Vilnius
Bodø,Debrecen,Bodø,Debrecen
Bodø,Lesquin,Bodø,Lesquin
Bodø,Perugia,Bodø,Perugia
Bodø,Lisbon,Bodø,Lisbon
Bodø,Gothenburg,Bodø,Gothenburg
Bodø,Ponta Delgada,Bodø,Ponta Delgada
Bodø,Ancona,Bodø,Ancona
Bodø,Ålesund,Bodø,Ålesund
Bodø,Manchester,Bodø,Manchester
Bodø,Vágar,Bodø,Vágar
Bodø,Funchal,Bodø,Funchal
Bodø,Krasnoyarsk,Bodø,Krasnoyarsk
Bodø,Syktyvkar,Bodø,Syktyvkar
Bodø,Pescara,Bodø,Pescara
Bodø,Bragança,Bodø,Bragança
Bodø,Wrocław,Bodø,Wrocław
Bournemouth,Murmansk,Bournemouth,Murmansk
Bournemouth,Frankfurt am Main,Bournemouth,Frankfurt am Main
Bournemouth,Umeå,Bournemouth,Umeå
Bournemouth,Łódź,Bournemouth,Łódź
Bournemouth,Genova ,Bournemouth,Genova (GE)
Bournemouth,Almería,Bournemouth,Almería
Bournemouth,Crete Island,Bournemouth,Crete Island
Bournemouth,Ivalo,Bournemouth,Ivalo
Bournemouth,Ivanovo,Bournemouth,Ivanovo
Bournemouth,Vigo,Bournemouth,Vigo
Bournemouth,Minsk,Bournemouth,Minsk
Bournemouth,Seville,Bournemouth,Sevilla
Bournemouth,Girona,Bournemouth,Girona
Bournemouth,Magnitogorsk,Bournemouth,Magnitogorsk
Bournemouth,Zgornji Brnik,Bournemouth,Zgornji Brnik
Bournemouth,Cherepovets,Bournemouth,Cherepovets
Bournemouth,Pisa,Bournemouth,Pisa
Bournemouth,Valletta,Bournemouth,Valletta
Bournemouth,Voronezh,Bournemouth,Voronezh
Bournemouth,Vila Real,Bournemouth,Vila Real
Bournemouth,Penza,Bournemouth,Penza
Bournemouth,Makhachkala,Bournemouth,Makhachkala
Bournemouth,Spata-Artemida,Bournemouth,Spata-Artemida
Bournemouth,"Luton, Bedfordshire",Bournemouth,"Luton, Bedfordshire"
Bournemouth,Čilipi,Bournemouth,Čilipi
Bournemouth,Olbia ,Bournemouth,Olbia (SS)
Bournemouth,Hanover,Bournemouth,Hannover
