tra_infr,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 
AIRP_SML,BE	0 d	0 d	0 d	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AIRP_SML,BG	: 	: 	: 	: 	: 	: 	1 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AIRP_SML,CH	1 d	3 d	1 d	1 	1 	1 	1 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AIRP_SML,CY	0 d	0 d	0 d	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AIRP_SML,CZ	1 d	0 d	0 d	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AIRP_SML,DE	138 d	131 d	141 d	100 	95 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AIRP_SML,DK	25 d	25 d	24 d	24 	2 	2 	2 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AIRP_SML,EE	5 d	4 d	4 d	5 	5 	5 	5 	6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AIRP_SML,EL	7 d	12 d	4 d	6 	6 	5 	6 	6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AIRP_SML,ES	9 d	9 d	2 d	2 	1 	1 	4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AIRP_SML,FI	7 d	6 d	2 d	3 	3 	6 	5 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AIRP_SML,FR	6 d	5 d	5 d	2 	1 	1 	1 	3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AIRP_SML,HR	1 d	1 d	1 d	1 	2 	2 	2 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AIRP_SML,HU	3 d	3 d	2 d	2 	2 	1 	1 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AIRP_SML,IE	1 d	2 d	2 d	2 	2 	2 	1 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AIRP_SML,IS	8 d	8 d	8 d	7 	6 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AIRP_SML,IT	11 d	11 d	10 d	10 	10 	8 	8 	7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AIRP_SML,LT	1 d	1 d	1 d	1 	1 	1 	1 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AIRP_SML,LU	0 d	0 d	0 d	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AIRP_SML,LV	1 d	1 d	1 d	1 	1 	1 	1 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AIRP_SML,ME	0 d	0 d	0 d	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AIRP_SML,MK	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AIRP_SML,MT	0 d	0 d	0 d	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AIRP_SML,NL	11 d	11 d	11 d	11 	11 	11 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AIRP_SML,NO	11 d	4 d	4 d	4 	4 	4 	5 	5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AIRP_SML,PL	0 d	0 d	0 d	1 	1 	2 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AIRP_SML,PT	7 d	7 d	7 d	7 	7 	6 	3 	3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AIRP_SML,RO	2 d	2 d	1 d	3 	4 	3 	2 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AIRP_SML,RS	1 d	: 	0 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AIRP_SML,SE	17 d	9 d	9 d	8 	8 	8 	8 	7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AIRP_SML,SI	2 d	2 d	2 d	2 	2 	2 	2 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AIRP_SML,SK	2 d	2 d	2 d	2 	2 	2 	2 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AIRP_SML,TR	7 d	7 d	3 d	4 	4 	3 	3 	4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AIRP_SML,UK	: 	: 	7 d	7 	7 	1 	10 	8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,AL	2 d	1 d	1 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,AT	17 d	18 d	17 d	17 	18 	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 
TOTAL,BA	4 d	4 d	4 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,BE	6 d	5 d	5 d	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 
