,route,time
373,"{'DUS', 'FRA'}",50.0
374,"{'DUS', 'FUE'}",265.0
375,"{'DUS', 'HEL'}",140.0
376,"{'DUS', 'IVL'}",210.0
377,"{'DUS', 'KIV'}",160.0
378,"{'DUS', 'KTT'}",190.0
379,"{'DUS', 'LHR'}",85.0
380,"{'DUS', 'LIS'}",185.0
381,"{'DUS', 'MAD'}",160.0
382,"{'DUS', 'MUC'}",70.0
383,"{'DUS', 'PRN'}",162.5
384,"{'DUS', 'SPC'}",277.5
385,"{'DUS', 'TIA'}",145.0
386,"{'DUS', 'TOS'}",210.0
387,"{'DUS', 'VIE'}",95.0
388,"{'DUS', 'ZRH'}",70.0
389,"{'EAS', 'BCN'}",65.0
390,"{'EAS', 'MAD'}",65.0
391,"{'EDI', 'AGP'}",200.0
392,"{'EDI', 'BCN'}",160.0
393,"{'EDI', 'BHX'}",65.0
394,"{'EDI', 'BRS'}",75.0
395,"{'EDI', 'CRL'}",105.0
396,"{'EDI', 'FUE'}",285.0
397,"{'EDI', 'GOT'}",112.5
398,"{'EDI', 'GVA'}",137.5
399,"{'EDI', 'LGW'}",85.0
400,"{'EDI', 'MAD'}",175.0
401,"{'EIN', 'AGP'}",177.5
402,"{'EIN', 'ALC'}",155.0
403,"{'EIN', 'ATH'}",175.0
404,"{'EIN', 'BDS'}",145.0
405,"{'EIN', 'BGY'}",97.5
406,"{'EIN', 'BUD'}",120.0
407,"{'EIN', 'CLJ'}",140.0
408,"{'EIN', 'DEB'}",130.0
409,"{'EIN', 'KRK'}",115.0
410,"{'EIN', 'LIS'}",175.0
411,"{'EIN', 'SZG'}",85.0
412,"{'EIN', 'VNO'}",137.5
413,"{'EMA', 'ACE'}",252.5
414,"{'EMA', 'AGP'}",180.0
415,"{'EMA', 'ALC'}",165.0
416,"{'EMA', 'BFS'}",65.0
417,"{'EMA', 'FUE'}",256.6666666666667
418,"{'EMA', 'GVA'}",112.5
419,"{'EMA', 'ORY'}",105.0
420,"{'EMA', 'RZE'}",165.0
421,"{'FAO', 'AMS'}",190.0
422,"{'FAO', 'BFS'}",188.75
423,"{'FAO', 'GLA'}",200.0
424,"{'FAO', 'LIS'}",47.5
425,"{'FAO', 'LPL'}",180.0
426,"{'FAO', 'LTN'}",172.5
427,"{'FAO', 'NRN'}",187.5
428,"{'FCO', 'AGP'}",157.5
429,"{'FCO', 'AHO'}",65.0
430,"{'FCO', 'AMS'}",155.0
431,"{'FCO', 'AOI'}",65.0
432,"{'FCO', 'ATH'}",125.0
433,"{'FCO', 'BCN'}",105.0
434,"{'FCO', 'BDS'}",75.0
435,"{'FCO', 'BLQ'}",60.0
436,"{'FCO', 'BRU'}",125.0
437,"{'FCO', 'BUD'}",105.0
438,"{'FCO', 'CAG'}",65.0
439,"{'FCO', 'CDG'}",127.5
440,"{'FCO', 'CGN'}",120.0
441,"{'FCO', 'CTA'}",80.0
442,"{'FCO', 'EIN'}",130.0
443,"{'FCO', 'FLR'}",55.0
444,"{'FCO', 'FMM'}",90.0
445,"{'FCO', 'GOA'}",65.0
446,"{'FCO', 'KIV'}",160.0
447,"{'FCO', 'LGW'}",150.0
448,"{'FCO', 'LHR'}",160.0
449,"{'FCO', 'LIN'}",70.0
450,"{'FCO', 'LIS'}",185.0
451,"{'FCO', 'LYS'}",95.0
452,"{'FCO', 'MAD'}",152.5
453,"{'FCO', 'MLA'}",90.0
454,"{'FCO', 'MRS'}",87.5
455,"{'FCO', 'MUC'}",90.0
456,"{'FCO', 'NCE'}",70.0
457,"{'FCO', 'OLB'}",62.5
458,"{'FCO', 'ORY'}",115.0
459,"{'FCO', 'OTP'}",140.0
460,"{'FCO', 'PMO'}",67.5
461,"{'FCO', 'POZ'}",140.0
462,"{'FCO', 'PRG'}",110.0
463,"{'FCO', 'RDO'}",135.0
464,"{'FCO', 'SCV'}",142.5
465,"{'FCO', 'SPU'}",65.0
466,"{'FCO', 'SUF'}",70.0
467,"{'FCO', 'TIA'}",80.0
468,"{'FCO', 'TRN'}",75.0
469,"{'FCO', 'TRS'}",65.0
470,"{'FCO', 'VIE'}",102.5
