,route,time,departure airport,arrival airport,departure city,arrival city
123,"{'AGP', 'BCN'}",92.5,AGP,BCN,Málaga,Barcelona
124,"{'BLQ', 'BCN'}",100.0,BLQ,BCN,Bologna,Barcelona
125,"{'BOD', 'BCN'}",75.0,BOD,BCN,Bordeaux/Mérignac,Barcelona
126,"{'BRU', 'BCN'}",120.0,BRU,BCN,Zaventem,Barcelona
127,"{'CAG', 'BCN'}",90.0,CAG,BCN,Cagliari,Barcelona
128,"{'CRL', 'BCN'}",115.0,CRL,BCN,Charleroi,Barcelona
129,"{'GOA', 'BCN'}",95.0,GOA,BCN,Genova (GE),Barcelona
130,"{'GOT', 'BCN'}",190.0,GOT,BCN,Gothenburg,Barcelona
131,"{'LGW', 'BCN'}",125.0,LGW,BCN,"Gatwick, Surrey",Barcelona
132,"{'MST', 'BCN'}",120.0,MST,BCN,Maastricht,Barcelona
133,"{'OPO', 'BCN'}",105.0,OPO,BCN,Porto,Barcelona
134,"{'OTP', 'BCN'}",205.0,OTP,BCN,Otopeni,Barcelona
135,"{'BDS', 'BGY'}",100.0,BDS,BGY,Brindisi,Orio al Serio (BG)
136,"{'BDS', 'BLQ'}",85.0,BDS,BLQ,Brindisi,Bologna
137,"{'BEG', 'ATH'}",100.0,BEG,ATH,Belgrade,Spata-Artemida
138,"{'BEG', 'BCN'}",165.0,BEG,BCN,Belgrade,Barcelona
139,"{'BEG', 'BUD'}",65.0,BEG,BUD,Belgrade,Budapest
140,"{'BEG', 'BVA'}",152.5,BEG,BVA,Belgrade,Tillé
141,"{'BEG', 'CDG'}",155.0,BEG,CDG,Belgrade,Paris
142,"{'BEG', 'INI'}",55.0,BEG,INI,Belgrade,Niš
143,"{'BEG', 'KZN'}",245.0,BEG,KZN,Belgrade,Kazan
144,"{'BEG', 'LED'}",172.5,BEG,LED,Belgrade,St. Petersburg
145,"{'BEG', 'LIS'}",240.0,BEG,LIS,Belgrade,Lisbon
146,"{'BEG', 'OSL'}",170.0,BEG,OSL,Belgrade,Oslo
147,"{'BEG', 'SVO'}",190.0,BEG,SVO,Belgrade,Moscow
148,"{'BEG', 'TGD'}",53.75,BEG,TGD,Belgrade,Podgorica
149,"{'BEG', 'TIV'}",50.0,BEG,TIV,Belgrade,Tivat
150,"{'BEG', 'VIE'}",90.0,BEG,VIE,Belgrade,Vienna
151,"{'BEG', 'WAW'}",100.0,BEG,WAW,Belgrade,Warsaw
152,"{'BEG', 'ZRH'}",100.0,BEG,ZRH,Belgrade,Zurich
153,"{'BFS', 'ALC'}",177.5,BFS,ALC,Belfast,Alicante
154,"{'BFS', 'BHX'}",65.0,BFS,BHX,Belfast,Birmingham
155,"{'BFS', 'EDI'}",52.5,BFS,EDI,Belfast,Edinburgh
156,"{'BFS', 'GVA'}",135.0,BFS,GVA,Belfast,Geneva
157,"{'BGC', 'VRL'}",20.0,BGC,VRL,Bragança,Vila Real
158,"{'AGP', 'BGO'}",240.0,AGP,BGO,Málaga,Bergen
159,"{'BGY', 'AGP'}",155.0,BGY,AGP,Orio al Serio (BG),Málaga
160,"{'ALC', 'BGY'}",130.0,ALC,BGY,Alicante,Orio al Serio (BG)
161,"{'ARN', 'BGY'}",165.0,ARN,BGY,Stockholm,Orio al Serio (BG)
162,"{'BGY', 'BCN'}",100.0,BGY,BCN,Orio al Serio (BG),Barcelona
163,"{'BRS', 'BGY'}",120.0,BRS,BGY,Bristol,Orio al Serio (BG)
164,"{'BVA', 'BGY'}",90.0,BVA,BGY,Tillé,Orio al Serio (BG)
165,"{'BGY', 'CAG'}",90.0,BGY,CAG,Orio al Serio (BG),Cagliari
166,"{'BGY', 'CRL'}",92.5,BGY,CRL,Orio al Serio (BG),Charleroi
167,"{'BGY', 'IAS'}",145.0,BGY,IAS,Orio al Serio (BG),Iaşi
168,"{'BGY', 'OPO'}",155.0,BGY,OPO,Orio al Serio (BG),Porto
169,"{'BGY', 'OTP'}",137.5,BGY,OTP,Orio al Serio (BG),Otopeni
170,"{'PSR', 'BGY'}",75.0,PSR,BGY,Pescara,Orio al Serio (BG)
171,"{'BGY', 'SUF'}",102.5,BGY,SUF,Orio al Serio (BG),Lamezia Terme (CZ)
172,"{'BGY', 'VLC'}",122.5,BGY,VLC,Orio al Serio (BG),Valencia
173,"{'BHD', 'AMS'}",92.5,BHD,AMS,Belfast,Amsterdam
174,"{'BHD', 'BHX'}",75.0,BHD,BHX,Belfast,Birmingham
175,"{'BHD', 'LGW'}",85.0,BHD,LGW,Belfast,"Gatwick, Surrey"
176,"{'BHD', 'LHR'}",80.0,BHD,LHR,Belfast,London
177,"{'BHD', 'LPL'}",50.0,BHD,LPL,Belfast,Liverpool
178,"{'BHD', 'MAN'}",65.0,BHD,MAN,Belfast,Manchester
179,"{'BHX', 'AGP'}",175.0,BHX,AGP,Birmingham,Málaga
180,"{'BHX', 'BCN'}",130.0,BHX,BCN,Birmingham,Barcelona
181,"{'BHX', 'CRA'}",210.0,BHX,CRA,Birmingham,Craiova
182,"{'BHX', 'FUE'}",260.0,BHX,FUE,Birmingham,El Matorral
183,"{'BHX', 'OPO'}",140.0,BHX,OPO,Birmingham,Porto
184,"{'BHX', 'OTP'}",215.0,BHX,OTP,Birmingham,Otopeni
185,"{'BHX', 'POZ'}",135.0,BHX,POZ,Birmingham,Poznań
186,"{'BHX', 'VLC'}",150.0,BHX,VLC,Birmingham,Valencia
187,"{'BIO', 'ACE'}",170.0,BIO,ACE,Bilbao,San Bartolomé
188,"{'BIO', 'AMS'}",135.0,BIO,AMS,Bilbao,Amsterdam
189,"{'BIO', 'BCN'}",72.5,BIO,BCN,Bilbao,Barcelona
190,"{'BIO', 'CDG'}",102.5,BIO,CDG,Bilbao,Paris
191,"{'BIO', 'FUE'}",175.0,BIO,FUE,Bilbao,El Matorral
192,"{'BIO', 'LGW'}",108.33333333333331,BIO,LGW,Bilbao,"Gatwick, Surrey"
193,"{'BIO', 'MAD'}",67.5,BIO,MAD,Bilbao,Madrid
194,"{'BIO', 'MUC'}",135.0,BIO,MUC,Bilbao,Munich
195,"{'BIO', 'OPO'}",77.5,BIO,OPO,Bilbao,Porto
196,"{'GDN', 'BLL'}",90.0,GDN,BLL,Gdańsk,Billund
197,"{'OTP', 'BLL'}",180.0,OTP,BLL,Otopeni,Billund
198,"{'CRA', 'BLQ'}",120.0,CRA,BLQ,Craiova,Bologna
199,"{'BNN', 'BOO'}",40.0,BNN,BOO,Brønnøy,Bodø
200,"{'BNN', 'TRD'}",45.0,BNN,TRD,Brønnøy,Trondheim
201,"{'BNX', 'GOT'}",145.0,BNX,GOT,Banja Luka,Gothenburg
202,"{'BCN', 'BOD'}",80.0,BCN,BOD,Barcelona,Bordeaux/Mérignac
203,"{'BOH', 'AGP'}",157.5,BOH,AGP,Bournemouth,Málaga
204,"{'BOO', 'LKN'}",25.0,BOO,LKN,Bodø,Leknes
205,"{'BOO', 'MJF'}",35.0,BOO,MJF,Bodø,Mosjøen
206,"{'BRE', 'MUC'}",75.0,BRE,MUC,Bremen,Munich
207,"{'BRI', 'BGY'}",90.0,BRI,BGY,Bari,Orio al Serio (BG)
208,"{'BRI', 'BUD'}",91.66666666666669,BRI,BUD,Bari,Budapest
209,"{'BRI', 'CRL'}",145.0,BRI,CRL,Bari,Charleroi
210,"{'BRI', 'FCO'}",70.0,BRI,FCO,Bari,Rome
211,"{'BRI', 'LIN'}",85.0,BRI,LIN,Bari,Segrate (MI)
212,"{'BRI', 'MLA'}",80.0,BRI,MLA,Bari,Valletta
213,"{'BRI', 'MXP'}",97.5,BRI,MXP,Bari,Ferno (VA)
