id,ident,type,airport name,latitude_left,longitude_left,elevation_ft,continent,iso_country,iso_region,airport city,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,geometry,index_right,nearest city,latitude_right,longitude_right,country,iso2,admin_name,capital,population,population_proper,distance
3077,GCFV,large_airport,Fuerteventura Airport,28.4527,-13.8638,85.0,AF,ES,ES-CN,El Matorral,yes,GCFV,FUE,,https://www.aena.es/en/fuerteventura.html,https://en.wikipedia.org/wiki/Fuerteventura_Airport,,POINT (-13.8638 28.4527),2841,Las Palmas,28.1272,-15.4314,Spain,ES,Canary Islands,admin,378797.0,378797.0,1.601037166963966
3080,GCLA,medium_airport,La Palma Airport,28.626499,-17.7556,107.0,AF,ES,ES-CN,"Sta Cruz de la Palma, La Palma Island",yes,GCLA,SPC,,https://www.aena.es/en/la-palma.html,https://en.wikipedia.org/wiki/La_Palma_Airport,,POINT (-17.7556 28.626499),2873,La Laguna,28.4853,-16.3167,Spain,ES,Canary Islands,,158010.0,157815.0,1.4458113181190002
3082,GCRR,large_airport,César Manrique-Lanzarote Airport,28.945499,-13.6052,46.0,AF,ES,ES-CN,San Bartolomé,yes,GCRR,ACE,,https://www.aena.es/en/cesar-manrique-lanzarote.html,https://en.wikipedia.org/wiki/Lanzarote_Airport,Arrecife Airport,POINT (-13.6052 28.945499),2841,Las Palmas,28.1272,-15.4314,Spain,ES,Canary Islands,admin,378797.0,378797.0,2.001154590080688
3093,GEML,medium_airport,Melilla Airport,35.2798,-2.95626,156.0,AF,ES,ES-ML,Melilla,yes,GEML,MLN,,https://www.aena.es/en/melilla.html,https://en.wikipedia.org/wiki/Melilla_Airport,,POINT (-2.95626 35.2798),2892,Roquetas de Mar,36.7642,-2.6147,Spain,ES,Andalusia,,102881.0,102881.0,1.523189611834325
3972,LATI,large_airport,Tirana International Airport Mother Teresa,41.4147,19.7206,126.0,EU,AL,AL-02,Rinas,yes,LATI,TIA,,http://www.tirana-airport.com/,https://en.wikipedia.org/wiki/Tirana_International_Airport_N%C3%ABn%C3%AB_Tereza,"Rinas International Airport, Aeroporti Nënë Tereza",POINT (19.7206 41.4147),2,Kamëz,41.3833,19.7667,Albania,AL,Tiranë,,126777.0,126777.0,0.055777862992411546
3974,LBBG,large_airport,Burgas Airport,42.56959915161133,27.515199661254883,135.0,EU,BG,BG-02,Burgas,yes,LBBG,BOJ,,,https://en.wikipedia.org/wiki/Burgas_Airport,,POINT (27.515199661254883 42.56959915161133),104,Burgas,42.503,27.4702,Bulgaria,BG,Burgas,admin,210813.0,210813.0,0.08037671620813455
3977,LBSF,large_airport,Sofia Airport,42.696357,23.417671,1742.0,EU,BG,BG-22,Sofia,yes,LBSF,SOF,,http://sofia-airport.bg,https://en.wikipedia.org/wiki/Sofia_Airport,"Sofia International Airport, Vrazhdebna Air Base",POINT (23.417671 42.696357),101,Sofia,42.7,23.33,Bulgaria,BG,Sofia-Grad,primary,1547779.0,1276956.0,0.0877466562895708
3979,LBWN,large_airport,Varna Airport,43.232101,27.8251,230.0,EU,BG,BG-03,Varna,yes,LBWN,VAR,,,https://en.wikipedia.org/wiki/Varna_Airport,,POINT (27.8251 43.232101),103,Varna,43.2167,27.9167,Bulgaria,BG,Varna,admin,348668.0,348668.0,0.09288568673913032
3984,LDDU,medium_airport,Dubrovnik Ruđer Bošković Airport,42.562247,18.265543,527.0,EU,HR,HR-19,Čilipi,yes,LDDU,DBV,,,https://en.wikipedia.org/wiki/Dubrovnik_Airport,,POINT (18.265543 42.562247),5,Shkodër,42.0681,19.5119,Albania,AL,Shkodër,admin,112276.0,112276.0,1.3407412237482659
3987,LDPL,medium_airport,Pula Airport,44.89350128173828,13.922200202941896,274.0,EU,HR,HR-18,Pula,yes,LDPL,PUY,,,https://en.wikipedia.org/wiki/Pula_Airport,,POINT (13.922200202941896 44.89350128173828),3112,Trieste,45.6503,13.7703,Italy,IT,Friuli Venezia Giulia,admin,204338.0,204338.0,0.7718924611734277
3991,LDSP,medium_airport,Split Airport,43.53889846801758,16.29800033569336,79.0,EU,HR,HR-17,Split,yes,LDSP,SPU,,,https://en.wikipedia.org/wiki/Split_Airport,,POINT (16.29800033569336 43.53889846801758),3125,Foggia,41.4642,15.5461,Italy,IT,Puglia,minor,151372.0,146803.0,2.2067459862907377
3993,LDZA,large_airport,Zagreb Airport,45.742901,16.0688,353.0,EU,HR,HR-21,Zagreb,yes,LDZA,ZAG,,,https://en.wikipedia.org/wiki/Zagreb_Airport,Pleso,POINT (16.0688 45.742901),7303,Graz,47.0708,15.4386,Austria,AT,Steiermark,admin,289440.0,289440.0,1.4698529838732128
3997,LEAL,large_airport,Alicante-Elche Miguel Hernández Airport,38.2822,-0.558156,142.0,EU,ES,ES-VC,Alicante,yes,LEAL,ALC,,https://www.aena.es/en/alicante-elche.html,https://en.wikipedia.org/wiki/Alicante_Airport,,POINT (-0.558156 38.2822),2842,Alicante,38.3453,-0.4831,Spain,ES,Valencia,minor,338577.0,338577.0,0.09805617337016484
3998,LEAM,medium_airport,Almería Airport,36.843899,-2.3701,70.0,EU,ES,ES-AN,Almería,yes,LEAM,LEI,,https://www.aena.es/en/almeria.html,https://en.wikipedia.org/wiki/Almer%C3%ADa_International_Airport,,POINT (-2.3701 36.843899),2861,Almería,36.8403,-2.4681,Spain,ES,Andalusia,minor,200753.0,199237.0,0.09806606345214469
3999,LEAS,medium_airport,Asturias Airport,43.563599,-6.03462,416.0,EU,ES,ES-AS,Ranón,yes,LEAS,OVD,,https://www.aena.es/en/asturias.html,https://en.wikipedia.org/wiki/Asturias_Airport,,POINT (-6.03462 43.563599),2854,Oviedo,43.36,-5.845,Spain,ES,Asturias,admin,217552.0,215167.0,0.27822346630182343
4001,LEBB,medium_airport,Bilbao Airport,43.301102,-2.91061,138.0,EU,ES,ES-PV,Bilbao,yes,LEBB,BIO,,https://www.aena.es/en/bilbao.html,https://en.wikipedia.org/wiki/Bilbao_Airport,,POINT (-2.91061 43.301102),2837,Bilbao,43.2569,-2.9236,Spain,ES,Basque Country,minor,775000.0,344127.0,0.04607121556894136
4004,LEBL,large_airport,Josep Tarradellas Barcelona-El Prat Airport,41.2971,2.07846,12.0,EU,ES,ES-CT,Barcelona,yes,LEBL,BCN,,https://www.aena.es/en/josep-tarradellas-barcelona-el-prat.html,https://en.wikipedia.org/wiki/Barcelona%E2%80%93El_Prat_Airport,"El Prat Airport,Barcelona International,Josep Tarradellas Barcelona-El Prat Airport",POINT (2.07846 41.2971),2833,Barcelona,41.3825,2.1769,Spain,ES,Catalonia,admin,4800000.0,1620343.0,0.1303211172450571
300859,LECH,medium_airport,Castellón-Costa Azahar Airport,40.213889,0.073333,1182.0,EU,ES,ES-VC,Castellón de la Plana,yes,LECH,CDT,,https://www.aeroportcastello.com/,https://en.wikipedia.org/wiki/Castell%C3%B3n%E2%80%93Costa_Azahar_Airport,,POINT (0.073333 40.213889),2869,Castellón de la Plana,39.9831,-0.0331,Spain,ES,Valencia,minor,172589.0,171857.0,0.25414866910924533
4007,LECO,medium_airport,A Coruña Airport,43.302101,-8.37726,326.0,EU,ES,ES-GA,Culleredo,yes,LECO,LCG,,https://www.aena.es/en/a-coruna.html,https://en.wikipedia.org/wiki/A_Coru%C3%B1a_Airport,"The Groyne, La Coruña",POINT (-8.37726 43.302101),2848,A Coruña,43.3667,-8.3833,Spain,ES,Galicia,minor,245468.0,244700.0,0.0648807552437559
4010,LEGE,medium_airport,Girona-Costa Brava Airport,41.904639,2.761774,468.0,EU,ES,ES-CT,Girona,yes,LEGE,GRO,,https://www.aena.es/en/girona-costa-brava.html,https://en.wikipedia.org/wiki/Girona-Costa_Brava_Airport,"Girona,Costa Brava,Girona-Costa Brava",POINT (2.761774 41.904639),2894,Girona,41.9833,2.8167,Spain,ES,Catalonia,minor,102666.0,102666.0,0.09593966018805515
4011,LEGR,medium_airport,F.G.L. Airport Granada-Jaén Airport,37.188702,-3.77736,1860.0,EU,ES,ES-AN,Granada,yes,LEGR,GRX,,https://www.aena.es/en/f.g.l.-granada-jaen.html,https://en.wikipedia.org/wiki/Federico_Garc%C3%ADa_Lorca_Airport,,POINT (-3.77736 37.188702),2850,Granada,37.1781,-3.6008,Spain,ES,Andalusia,minor,231775.0,228682.0,0.17687802578047931
4013,LEIB,large_airport,Ibiza Airport,38.872898,1.37312,24.0,EU,ES,ES-IB,Ibiza (Eivissa),yes,LEIB,IBZ,,https://www.aena.es/en/ibiza.html,https://en.wikipedia.org/wiki/Ibiza_Airport,,POINT (1.37312 38.872898),2840,Palma,39.5667,2.65,Spain,ES,Balearic Islands,admin,550000.0,415940.0,1.4531977668590044
4015,LEJR,medium_airport,Jerez Airport,36.744598,-6.06011,93.0,EU,ES,ES-AN,Jerez de la Frontera,yes,LEJR,XRY,,https://www.aena.es/en/jerez.html,https://en.wikipedia.org/wiki/Jerez_Airport,,POINT (-6.06011 36.744598),2857,Jerez de la Frontera,36.6817,-6.1378,Spain,ES,Andalusia,,212801.0,212730.0,0.09995946430428983
