,name,iata_code,iso_region,iso_country,coordinates
486,Morlaix-Ploujean Airport,MXN,FR-BRE,FR,"-3.81577992439, 48.6031990051"
487,Vannes-Meucon Airport,VNE,FR-BRE,FR,"-2.718559980392456, 47.72330093383789"
488,Saint-Nazaire-Montoir Airport,SNR,FR-PDL,FR,"-2.1566667, 47.3105556"
489,EuroAirport Basel-Mulhouse-Freiburg Airport,BSL,FR-GES,FR,"7.529167, 47.59"
490,Dijon-Bourgogne Airport,DIJ,FR-BFC,FR,"5.09, 47.268902"
491,Ãpinal-Mirecourt Airport,EPL,FR-GES,FR,"6.06998, 48.325001"
492,Brive-Souillac,BVE,FR-NAQ,FR,"1.485556, 45.039722"
493,Nancy-Essey Airport,ENC,FR-GES,FR,"6.230460166931152, 48.692100524902344"
494,Strasbourg Airport,SXB,FR-GES,FR,"7.628230094909668, 48.538299560546875"
495,Toulon-HyÃ¨res Airport,TLN,FR-PAC,FR,"6.14602994919, 43.0973014832"
496,NÃ®mes-Arles-Camargue Airport,FNI,FR-OCC,FR,"4.4163498878479, 43.75740051269531"
497,Andravida Air Base,PYR,GR-14,GR,"21.292601, 37.9207"
498,Dimokritos Airport,AXD,GR-71,GR,"25.956300735473633, 40.855899810791016"
499,Eleftherios Venizelos International Airport,ATH,GR-A1,GR,"23.9444999695, 37.9364013672"
500,Nea Anchialos Airport,VOL,GR-43,GR,"22.794300079345703, 39.219600677490234"
501,Chios Island National Airport,JKH,GR-85,GR,"26.140600204467773, 38.34320068359375"
502,Ioannina Airport,IOA,GR-33,GR,"20.822500228881836, 39.6963996887207"
503,Kefallinia Airport,EFL,GR-23,GR,"20.500499725341797, 38.12009811401367"
504,Kalamata Airport,KLX,GR-17,GR,"22.02549934387207, 37.06829833984375"
505,Kos Airport,KGS,GR-81,GR,"27.091699600219727, 36.79330062866211"
506,Karpathos Airport,AOK,GR-81,GR,"27.145999908447266, 35.4213981628418"
507,Ioannis Kapodistrias International Airport,CFU,GR-22,GR,"19.911699295043945, 39.601898193359375"
