route,time,departure airport,arrival airport,departure city,arrival city
"{'BGY', 'CAG'}",90.0,BGY,CAG,Monza,Cagliari
"{'BGY', 'CRL'}",92.5,BGY,CRL,Monza,Brussels
"{'BGY', 'IAS'}",145.0,BGY,IAS,Monza,Iaşi
"{'BGY', 'OPO'}",155.0,BGY,OPO,Monza,Porto
"{'BGY', 'OTP'}",137.5,BGY,OTP,Monza,Bucharest
"{'PSR', 'BGY'}",75.0,PSR,BGY,Pescara,Monza
"{'BGY', 'SUF'}",102.5,BGY,SUF,Monza,Cosenza
"{'BGY', 'VLC'}",122.5,BGY,VLC,Monza,Valencia
"{'BHD', 'AMS'}",92.5,BHD,AMS,Belfast,Amsterdam
"{'BHD', 'BHX'}",75.0,BHD,BHX,Belfast,Birmingham
"{'BHD', 'LGW'}",85.0,BHD,LGW,Belfast,London
"{'BHD', 'LHR'}",80.0,BHD,LHR,Belfast,London
"{'BHD', 'LPL'}",50.0,BHD,LPL,Belfast,Liverpool
"{'BHD', 'MAN'}",65.0,BHD,MAN,Belfast,Manchester
"{'BHX', 'AGP'}",175.0,BHX,AGP,Birmingham,Málaga
"{'BHX', 'BCN'}",130.0,BHX,BCN,Birmingham,Barcelona
"{'BHX', 'CRA'}",210.0,BHX,CRA,Birmingham,Craiova
"{'BHX', 'OPO'}",140.0,BHX,OPO,Birmingham,Porto
"{'BHX', 'OTP'}",215.0,BHX,OTP,Birmingham,Bucharest
"{'BHX', 'POZ'}",135.0,BHX,POZ,Birmingham,Poznań
"{'BHX', 'VLC'}",150.0,BHX,VLC,Birmingham,Valencia
"{'BIO', 'ACE'}",170.0,BIO,ACE,Bilbao,Arrecife
"{'BIO', 'AMS'}",135.0,BIO,AMS,Bilbao,Amsterdam
"{'BIO', 'BCN'}",72.5,BIO,BCN,Bilbao,Barcelona
"{'BIO', 'CDG'}",102.5,BIO,CDG,Bilbao,Paris
"{'BIO', 'LGW'}",108.33333333333331,BIO,LGW,Bilbao,London
"{'BIO', 'MAD'}",67.5,BIO,MAD,Bilbao,Madrid
"{'BIO', 'MUC'}",135.0,BIO,MUC,Bilbao,Munich
"{'BIO', 'OPO'}",77.5,BIO,OPO,Bilbao,Porto
"{'GDN', 'BLL'}",90.0,GDN,BLL,Gdańsk,Kolding
"{'OTP', 'BLL'}",180.0,OTP,BLL,Bucharest,Kolding
"{'CRA', 'BLQ'}",120.0,CRA,BLQ,Craiova,Bologna
"{'BCN', 'BOD'}",80.0,BCN,BOD,Barcelona,Bordeaux
"{'BOH', 'AGP'}",157.5,BOH,AGP,Southampton,Málaga
"{'BRE', 'MUC'}",75.0,BRE,MUC,Bremen,Munich
"{'BRI', 'BGY'}",90.0,BRI,BGY,Bari,Monza
"{'BRI', 'BUD'}",91.66666666666669,BRI,BUD,Bari,Budapest
"{'BRI', 'CRL'}",145.0,BRI,CRL,Bari,Brussels
"{'BRI', 'FCO'}",70.0,BRI,FCO,Bari,Rome
"{'BRI', 'LIN'}",85.0,BRI,LIN,Bari,Milan
"{'BRI', 'MXP'}",97.5,BRI,MXP,Bari,Novara
"{'BRI', 'OTP'}",105.0,BRI,OTP,Bari,Bucharest
