departure city,arrival city
Bari,Budapest
Bari,Charleroi
Bari,Rome
Bari,Milan
Bari,Siracusa
Bari,Milan
Bari,Bucharest
Bari,Kamëz
Bari,Turin
Bari,Venice
Bari,Verona
Bari,Warsaw
Bristol,Málaga
Alicante,Bristol
Bristol,Barcelona
Bergamo,Bristol
Bristol,Las Palmas
Grenoble,Bristol
Bristol,Maia
Bristol,Poznań
Málaga,Brussels
Barcelona,Brussels
Basel,Las Palmas
Basel,Hoofddorp
Basel,Paris
Basel,Catania
Basel,Las Palmas
Basel,Munich
Basel,Bucharest
Basel,Pristina
Basel,Reggio di Calabria
Bratislava,Kaunas
Bratislava,Luton
Budapest,Málaga
Budapest,Uppsala
Budapest,Athens
Budapest,Barcelona
Budapest,Bergamo
Budapest,Solihull
Budapest,Bologna
Budapest,Bristol
Budapest,Rome
Budapest,Charleroi
Budapest,Catania
Budapest,Vantaa
Budapest,Harrow
Budapest,Luton
Budapest,Torrejón de Ardoz
Budapest,Siracusa
Budapest,Marseille
Budapest,Milan
Budapest,Prague
Budapest,Warsaw
Amiens,Barcelona
Bergamo,Amiens
Amiens,Maia
Bydgoszcz,Luton
Innsbruck,Aarhus
Montpellier,Charleroi
Paris,Málaga
Uppsala,Paris
Paris,Barcelona
Paris,Solihull
Paris,Bologna
Paris,Bordeaux
Paris,Brussels
Paris,Gothenburg
Vantaa,Paris
Munich,Paris
Paris,Bucharest
Oulu,Paris
Castellón de la Plana,Nijmegen
Saint Petersburg,Cherepovets
Chelyabinsk,Saint Petersburg
Khimki,Chelyabinsk
Chelyabinsk,Odintsovo
Vlorë,Athens
Bonn,Málaga
Bonn,Las Palmas
Bonn,Munich
Varna,Bonn
Irákleio,Athens
Charleroi,Rome
Bucharest,Rome
Cluj-Napoca,Bergamo
Cluj-Napoca,Rome
Luton,Cluj-Napoca
Cluj-Napoca,Bucharest
Livorno,Nice
Annecy,Solihull
Copenhagen,Aarhus
Copenhagen,Aarhus
Copenhagen,Málaga
Copenhagen,Alicante
Copenhagen,Hoofddorp
Copenhagen,Uppsala
Copenhagen,Budapest
Copenhagen,Innsbruck
Copenhagen,Paris
Copenhagen,Bonn
Copenhagen,Aberdeen
Copenhagen,Huelva
Copenhagen,Frankfurt
Copenhagen,Gdynia
Copenhagen,Gothenburg
Copenhagen,Geneva
Copenhagen,Hamburg
Copenhagen,Vantaa
Copenhagen,Kraków
Copenhagen,Kaunas
Copenhagen,Harrow
Copenhagen,Torrejón de Ardoz
Copenhagen,Sale
Copenhagen,Munich
Copenhagen,Maia
Copenhagen,Oslo
Copenhagen,Riga
Copenhagen,Romford
Copenhagen,Salzburg
Copenhagen,Vienna
Copenhagen,Zürich
Bologna,Craiova
Charleroi,Craiova
Barcelona,Charleroi
Rome,Charleroi
Bucharest,Charleroi
Taranto,Bergamo
Taranto,Bologna
Cheboksary,Khimki
Cheboksary,Odintsovo
Catania,Bergamo
Catania,Bologna
Catania,Charleroi
Catania,Florence
Catania,Bucharest
Catania,Prague
Catania,Verona
Kamëz,Graz
Debrecen,Luton
Domodedovo,Sochi
Domodedovo,Arkhangelsk
Domodedovo,Groznyy
Domodedovo,Chita
Domodedovo,Izhevsk
Domodedovo,Kazan
Domodedovo,Saint Petersburg
Domodedovo,Murmansk
Domodedovo,Minsk
Domodedovo,Prokopyevsk
Domodedovo,Perm
Domodedovo,Penza
Domodedovo,Volgograd
Dortmund,Zemun
Dortmund,Budapest
Dortmund,Cluj-Napoca
Dortmund,Rome
Dortmund,Gdynia
Dortmund,Sosnowiec
Dortmund,Olsztyn
Dortmund,Novi Sad
Dortmund,Vilnius
Düsseldorf,Las Palmas
