route,time,departure airport,arrival airport,city2,city1
"{'ORY', 'SOU'}",90.0,ORY,SOU,Southampton,Paris
"{'ORY', 'NCE'}",87.5,ORY,NCE,Nice,Paris
"{'CDG', 'HEL'}",170.0,CDG,HEL,Helsinki,Paris
"{'ORY', 'VLC'}",116.66666666666669,ORY,VLC,Valencia,Paris
"{'CDG', 'BLQ'}",105.0,CDG,BLQ,Bologna,Paris
"{'ORY', 'TLS'}",75.0,ORY,TLS,Toulouse,Paris
"{'ORY', 'MPL'}",85.0,ORY,MPL,Montpellier,Paris
"{'VIE', 'BCN'}",142.5,VIE,BCN,Barcelona,Vienna
"{'VIE', 'CDG'}",122.5,VIE,CDG,Paris,Vienna
"{'VIE', 'HAM'}",95.0,VIE,HAM,Hamburg,Vienna
"{'VIE', 'MAD'}",190.0,VIE,MAD,Madrid,Vienna
"{'VIE', 'HEL'}",147.5,VIE,HEL,Helsinki,Vienna
"{'VIE', 'ZRH'}",81.66666666666667,VIE,ZRH,Zurich,Vienna
"{'VIE', 'STR'}",75.0,VIE,STR,Stuttgart,Vienna
"{'VIE', 'LUX'}",110.0,VIE,LUX,Luxembourg,Vienna
"{'VIE', 'SDR'}",160.0,VIE,SDR,Santander,Vienna
"{'HAM', 'MAD'}",175.0,HAM,MAD,Madrid,Hamburg
"{'ARN', 'CDG'}",165.0,ARN,CDG,Paris,Stockholm
"{'ARN', 'GDN'}",82.5,ARN,GDN,Gdansk,Stockholm
"{'ARN', 'WMI'}",102.5,ARN,WMI,Warsaw,Stockholm
"{'ARN', 'HEL'}",65.0,ARN,HEL,Helsinki,Stockholm
"{'ARN', 'POZ'}",100.0,ARN,POZ,Poznan,Stockholm
"{'BHX', 'BCN'}",130.0,BHX,BCN,Barcelona,Birmingham
"{'BHX', 'VLC'}",150.0,BHX,VLC,Valencia,Birmingham
"{'BHX', 'POZ'}",135.0,BHX,POZ,Poznan,Birmingham
"{'BRS', 'BCN'}",125.0,BRS,BCN,Barcelona,Bristol
"{'BRS', 'ALC'}",145.0,BRS,ALC,Alicante,Bristol
"{'BRS', 'POZ'}",135.0,BRS,POZ,Poznan,Bristol
"{'BUD', 'BCN'}",157.5,BUD,BCN,Barcelona,Budapest
"{'BUD', 'BHX'}",165.0,BUD,BHX,Birmingham,Budapest
"{'BUD', 'CRL'}",122.5,BUD,CRL,Charleroi,Budapest
"{'BUD', 'LTN'}",157.5,BUD,LTN,Luton,Budapest
"{'BUD', 'MAD'}",205.0,BUD,MAD,Madrid,Budapest
"{'BUD', 'MRS'}",130.0,BUD,MRS,Marseille,Budapest
