,route,time,departure airport,arrival airport,departure city,arrival city,transit_distance [m],transit_time [s]
310,"{'CPH', 'AGP'}",220.0,CPH,AGP,Copenhagen,Málaga,3655257,122940
311,"{'CPH', 'ALC'}",200.0,CPH,ALC,Copenhagen,Alicante,3076154,123240
312,"{'CPH', 'AMS'}",87.5,CPH,AMS,Copenhagen,Amsterdam,987281,38040
313,"{'CPH', 'ARN'}",72.5,CPH,ARN,Copenhagen,Stockholm,637290,19200
314,"{'CPH', 'BUD'}",115.0,CPH,BUD,Copenhagen,Budapest,1605376,75780
315,"{'CPH', 'BZO'}",130.0,CPH,BZO,Copenhagen,Trento,1646371,80100
316,"{'CPH', 'CDG'}",120.0,CPH,CDG,Copenhagen,Paris,1610505,73440
317,"{'CPH', 'CGN'}",85.0,CPH,CGN,Copenhagen,Cologne,938108,33780
318,"{'CPH', 'FAO'}",235.0,CPH,FAO,Copenhagen,Faro,3814452,133380
319,"{'CPH', 'FRA'}",90.0,CPH,FRA,Copenhagen,Frankfurt,1013952,34200
321,"{'CPH', 'GOT'}",52.5,CPH,GOT,Copenhagen,Gothenburg,339473,13800
322,"{'CPH', 'GVA'}",123.75,CPH,GVA,Copenhagen,Geneva,1690965,76860
323,"{'CPH', 'HAM'}",60.0,CPH,HAM,Copenhagen,Hamburg,485835,16800
324,"{'CPH', 'HEL'}",100.0,CPH,HEL,Copenhagen,Helsinki,1157563,65280
325,"{'CPH', 'KRK'}",105.0,CPH,KRK,Copenhagen,Kraków,1414748,52080
326,"{'CPH', 'KUN'}",90.0,CPH,KUN,Copenhagen,Kaunas,972726,100200
327,"{'CPH', 'LHR'}",125.0,CPH,LHR,Copenhagen,London,1536602,76860
329,"{'CPH', 'MAD'}",195.0,CPH,MAD,Copenhagen,Madrid,3150974,109140
330,"{'CPH', 'MAN'}",120.0,CPH,MAN,Copenhagen,Manchester,1860866,85980
331,"{'CPH', 'MUC'}",100.0,CPH,MUC,Copenhagen,Munich,1311028,40740
332,"{'CPH', 'OPO'}",205.0,CPH,OPO,Copenhagen,Porto,4068317,165240
333,"{'CPH', 'OSL'}",75.0,CPH,OSL,Copenhagen,Oslo,733791,29640
335,"{'CPH', 'STN'}",115.0,CPH,STN,Copenhagen,London,1536602,76860
337,"{'CPH', 'SZG'}",96.66666666666669,CPH,SZG,Copenhagen,Salzburg,1458610,48780
338,"{'CPH', 'VIE'}",102.5,CPH,VIE,Copenhagen,Vienna,1583788,69240
339,"{'CPH', 'ZRH'}",105.0,CPH,ZRH,Copenhagen,Zürich,1528453,52500
340,"{'BLQ', 'CRA'}",110.0,BLQ,CRA,Bologna,Craiova,1774346,94087
341,"{'CRL', 'CRA'}",150.0,CRL,CRA,Brussels,Craiova,2060722,121327
342,"{'BCN', 'CRL'}",135.0,BCN,CRL,Barcelona,Brussels,1432390,34020
344,"{'CIA', 'CRL'}",130.0,CIA,CRL,Rome,Brussels,1741431,77460
346,"{'OTP', 'CRL'}",175.0,OTP,CRL,Bucharest,Brussels,2301231,107640
347,"{'CSY', 'SVO'}",95.0,CSY,SVO,Cheboksary,Moscow,1167121,44700
349,"{'CSY', 'VKO'}",85.0,CSY,VKO,Cheboksary,Moscow,1167121,44700
351,"{'CTA', 'BGY'}",112.5,CTA,BGY,Catania,Monza,1285565,65992
352,"{'CTA', 'BLQ'}",105.0,CTA,BLQ,Catania,Bologna,1045595,41992
353,"{'CTA', 'CRL'}",160.0,CTA,CRL,Catania,Brussels,2460596,110430
354,"{'CTA', 'FLR'}",95.0,CTA,FLR,Catania,Florence,964066,39232
356,"{'CTA', 'PRG'}",140.0,CTA,PRG,Catania,Prague,2191619,93390
357,"{'CTA', 'VRN'}",107.5,CTA,VRN,Catania,Verona,1288567,70012
358,"{'DEB', 'LTN'}",167.5,DEB,LTN,Debrecen,London,2336555,78780
