,dep,arr,time
647,TRD,HEL,140
648,VDS,KKN,15
649,SVG,BGO,40
650,SVG,OSL,50
651,SVG,ALC,205
652,SVG,AMS,95
653,SVG,GDN,100
654,BZG,LTN,135
655,BZG,STN,135
656,GDN,ALC,225
657,GDN,SVG,115
658,GDN,BLL,90
659,GDN,STN,145
660,GDN,AMS,115
661,GDN,LTN,145
662,GDN,LPL,155
663,GDN,TOS,175
664,KRK,EIN,120
665,KRK,BCN,170
666,KRK,AMS,120
667,KRK,BCN,165
668,KRK,ARN,120
669,KRK,CRL,120
670,KRK,OSL,140
671,KRK,LGW,160
672,KRK,WAW,55
673,KRK,FRA,100
674,KRK,LTN,155
675,KRK,CIA,120
676,KRK,LIL,130
677,KRK,PSA,115
678,KRK,BGY,105
679,KRK,GOT,110
680,KRK,TLS,165
681,KRK,CPH,105
682,KRK,BVA,140
683,KRK,BHX,160
684,KRK,CAG,145
685,KRK,EDI,170
686,KRK,BLQ,105
687,KRK,AGP,225
688,KRK,LBA,155
689,KRK,STN,150
690,KRK,VIE,60
691,KTW,ALC,200
692,KTW,CTA,155
693,KTW,WAW,50
694,KTW,MLA,170
695,KTW,LTN,155
696,KTW,ATH,155
697,KTW,STN,150
698,LCJ,STN,140
699,WMI,AGP,245
700,WMI,CRL,130
701,WMI,CIA,140
702,WMI,LIS,260
703,WMI,BCN,184
704,WMI,ARN,105
705,POZ,FRA,90
706,POZ,FCO,140
707,POZ,BRS,140
708,POZ,LBA,135
709,POZ,VRN,110
710,POZ,STN,130
711,POZ,BHX,145
712,RDO,FCO,135
713,RZE,MXP,135
714,RZE,EMA,175
715,RZE,MAN,180
716,SZZ,STN,115
717,SZZ,OSL,90
718,SZY,DTM,110
719,SZY,STN,150
720,WAW,KRK,60
721,WAW,FRA,115
722,WAW,WRO,55
723,WAW,CLJ,90
724,WAW,LHR,170
725,WAW,BCN,190
726,WAW,RIX,80
727,WAW,PRG,80
728,WAW,BUD,80
729,WAW,CDG,150
730,WAW,AMS,135
731,WAW,KRK,55
732,WAW,GVA,140
733,WAW,VNO,65
734,WAW,MUC,105
735,WAW,KTW,50
736,WAW,FRA,125
737,WAW,AMS,125
738,WAW,BRU,130
739,WAW,ZRH,125
740,WAW,ATH,150
741,WAW,LTN,165
742,WAW,FCO,145
743,WAW,BGY,130
744,WAW,HEL,105
745,WAW,GDN,55
746,WAW,WRO,60
747,WAW,TLL,100
748,WAW,GDN,60
749,WRO,FRA,85
750,WRO,WAW,55
751,WRO,STN,130
752,WRO,VLC,190
753,WRO,LTN,135
754,WRO,MAN,145
755,GOT,OSL,55
756,GOT,ZRH,120
757,GOT,TRN,135
758,GOT,AGP,235
759,GOT,BCN,190
760,GOT,GVA,135
761,GOT,CDG,140
762,GOT,CPH,50
763,GOT,HEL,115
764,GOT,LHR,130
765,GOT,ALC,215
766,GOT,FRA,105
767,GOT,AGP,225
768,GOT,EDI,115
769,GOT,ARN,65
770,GOT,KRK,105
771,GOT,STN,115
772,NYO,KRK,110
773,NYO,OTP,170
774,NYO,SKP,180
775,MMX,ARN,70
776,LLA,ARN,80
777,ARN,POZ,100
778,ARN,TIA,190
779,ARN,CPH,75
780,ARN,GVA,160
781,ARN,ZRH,145
782,ARN,GDN,80
783,ARN,GDN,85
784,ARN,TRN,165
785,ARN,FRA,135
786,ARN,HEL,55
787,ARN,LLA,80
788,ARN,AMS,130
789,ARN,HEL,75
790,ARN,SZG,130
791,ARN,LHR,160
792,ARN,MMX,70
793,ARN,MUC,135
794,ARN,CDG,165
795,ARN,LYS,185
796,ARN,UME,65
797,ARN,CPH,70
798,ARN,RIX,65
799,ARN,WMI,100
800,ARN,TLL,60
801,ARN,GOT,65
802,ARN,STN,150
803,ARN,BGY,165
804,ARN,BUD,145
805,BMA,MMX,80
806,RIX,STN,175
807,RIX,AMS,145
808,RIX,SZG,135
809,RIX,HEL,70
810,RIX,CPH,90
811,RIX,WAW,80
812,RIX,ARN,75
813,RIX,HEL,60
