departure city,arrival city,transit_distance [m],transit_time [s]
Rome,Radom,2004130,87600
Rome,Botoşani,-1,-1
Rome,Cosenza,493340,21376
Kraków,Toulouse,2583288,99660
A Coruña,Madrid,694805,15000
Almería,Madrid,737429,24000
London,Madrid,2223544,78360
Milan,Madrid,2278393,98700
Lisbon,Madrid,989947,37560
Lyon,Madrid,1272642,31140
Málaga,Madrid,509146,11940
Barcelona,Madrid,606171,9900
Bologna,Madrid,-1,-1
Bordeaux,Madrid,817067,33780
Brussels,Madrid,1660259,49920
Hamburg,Madrid,2726252,104526
London,Madrid,2223544,78360
Porto,Madrid,856738,30180
Manchester,Madrid,2239446,93600
Marseille,Madrid,1135327,30780
Novara,Madrid,-1,-1
Nice,Madrid,1377085,75780
Nantes,Madrid,-1,-1
Paris,Madrid,1695079,36180
Krasnodar,Moscow,1565826,67680
Krasnodar,Moscow,1565826,67680
Kirov,Moscow,1759911,49560
Kirov,Moscow,1759911,49560
Kazan,Moscow,1191797,44340
Kazan,Moscow,1191797,44340
Makhachkala,Moscow,2983736,158820
Makhachkala,Moscow,2983736,158820
Makhachkala,Moscow,2983736,158820
Pyatigorsk,Moscow,2281166,99960
Pyatigorsk,Moscow,2281166,99960
Pyatigorsk,Moscow,2281166,99960
Horad Zhodzina,Moscow,-1,-1
Horad Zhodzina,Moscow,-1,-1
Novokuznetsk,Moscow,-1,-1
Vladikavkaz,Moscow,2545137,132300
Katowice,London,1734810,86040
Málaga,London,2913325,96060
Barcelona,London,1621242,37800
Bucharest,London,2679669,119820
Freiburg im Breisgau,London,1180294,38580
Lisbon,London,-1,-1
Lisbon,London,-1,-1
Cluj-Napoca,London,2690849,120180
Lublin,London,2437328,99300
Manchester,London,295185,9240
Munich,London,1252257,38400
Novara,London,1399143,49560
Naples,London,2101498,89129
Camborne,London,474557,19080
Paris,London,503996,9960
Milan,Paris,839464,30480
Lisbon,Paris,2939464,106020
Lisbon,Paris,2939464,106020
Lyon,Paris,427098,6960
Manchester,Paris,798468,21720
Montpellier,Paris,756953,18480
Marseille,Paris,749108,14438
Marseille,Paris,749108,14438
Novara,Paris,889245,34380
Novara,Paris,889245,34380
Nice,Paris,971158,20760
Maastricht,Málaga,2341600,94404
London,Málaga,2735959,93240
London,Málaga,2735959,93240
Trier,Málaga,2704872,99300
Manchester,Málaga,3051308,100560
Ciudad de Melilla,Málaga,-1,-1
Marseille,Málaga,1639610,44580
Munich,Málaga,2825646,95160
Gateshead,Málaga,3192266,103440
Mönchengladbach,Málaga,2449472,100200
Paris,Málaga,2199362,49980
London,Barcelona,1598793,38700
Lisbon,Barcelona,1579423,84960
Liverpool,Barcelona,-1,-1
London,Barcelona,1598793,38700
Manchester,Barcelona,-1,-1
Munich,Barcelona,-1,-1
Novara,Barcelona,-1,-1
Naples,Barcelona,1866650,107849
Nice,Barcelona,-1,-1
Paris,Barcelona,1088908,24540
Kristiansand,Amsterdam,-1,-1
Bradford,Amsterdam,955224,25680
London,Amsterdam,594347,14160
Milan,Amsterdam,1377834,45240
Lisbon,Amsterdam,3477834,122820
Manchester,Amsterdam,891605,24000
Montpellier,Amsterdam,1461548,31920
Novara,Amsterdam,1154406,51060
Nantes,Amsterdam,935791,24420
Samara,Saint Petersburg,1836132,72600
Kirov,Saint Petersburg,3083332,75840
Kazan,Saint Petersburg,1438990,62400
Cherepovets,Saint Petersburg,575611,35040
Murmansk,Saint Petersburg,2104421,94440
Makhachkala,Saint Petersburg,3542665,158820
Pyatigorsk,Saint Petersburg,2924181,118080
Horad Zhodzina,Saint Petersburg,-1,-1
Naberezhnyye Chelny,Saint Petersburg,2934329,100860
Milan,Munich,584837,24720
Lisbon,Munich,3852702,131280
Lyon,Munich,844826,32400
Manchester,Munich,1494806,38700
Alicante,Munich,-1,-1
Stockholm,Munich,1927103,79680
Dresden,Munich,629737,17640
Novara,Munich,629118,29400
Katowice,Alicante,2926363,120540
Bradford,Alicante,2692381,99000
Lisbon,Alicante,1455189,49500
Manchester,Alicante,2628762,97320
Marseille,Alicante,1068436,44880
Novara,Alicante,-1,-1
Gateshead,Alicante,2766168,113760
London,Bucharest,3062127,145260
Liverpool,Bucharest,-1,-1
London,Bucharest,3062127,145260
Marseille,Bucharest,-1,-1
Naples,Bucharest,-1,-1
Nyköping,Bucharest,3259047,162000
Oradea,Bucharest,899933,67740
London,Geneva,1034008,24420
Lille,Geneva,807451,20760
Lisbon,Geneva,2674786,114780
London,Geneva,1034008,24420
Manchester,Geneva,1326666,32040
Nantes,Geneva,927069,23040
London,Brussels,377105,7320
Milan,Brussels,1160477,38700
Lisbon,Brussels,3260477,115800
Marseille,Brussels,1108058,21938
Munich,Brussels,875178,26820
Naples,Brussels,1912613,81509
London,Stockholm,2172542,78780
Luleå,Stockholm,1058474,55980
Lyon,Stockholm,2369097,85980
Malmö,Stockholm,596275,16020
Malmö,Stockholm,596275,16020
London,Zürich,1120143,27840
Lisbon,Zürich,-1,-1
Novara,Zürich,303607,20220
Nice,Zürich,533574,35220
Ohrid,Zürich,1717488,142783
Bradford,Arrecife,-1,-1
Lyon,Arrecife,-1,-1
Manchester,Arrecife,-1,-1
Nantes,Arrecife,-1,-1
Paris,Arrecife,-1,-1
Kuopio,Helsinki,432444,15900
Milan,Helsinki,2796660,153600
Lisbon,Helsinki,5663263,247080
Manchester,Helsinki,2992550,152880
Novara,Helsinki,2845508,158700
London,Vienna,1542084,49140
Lisbon,Vienna,-1,-1
Novara,Vienna,957074,40800
Naples,Vienna,1269565,47189
Katowice,Athens,1850804,120900
London,Athens,4407400,232860
Mytilíni,Athens,-1,-1
Novara,Athens,2567334,154560
Katowice,Catania,2091729,105384
Milan,Catania,1296923,43085
Novara,Catania,1308770,53767
Naples,Catania,518405,28493
Kaunas,Monza,2094395,114780
Lisbon,Monza,-1,-1
Trier,Monza,729456,37740
Naples,Monza,766688,18209
Lisbon,Porto,336184,11100
Trier,Porto,-1,-1
Novara,Porto,-1,-1
Madrid,Porto,902931,28080
Lisbon,Valencia,1324736,44700
Munich,Valencia,2679696,92820
Naples,Valencia,2213331,121769
London,Grenoble,1063357,23460
London,Grenoble,1063357,23460
Manchester,Grenoble,1342720,32640
Munich,Thessaloníki,-1,-1
Mönchengladbach,Thessaloníki,3112303,180880
Nuremberg,Thessaloníki,2594202,154780
Marseille,Bastia,-1,-1
Nice,Bastia,-1,-1
Paris,Bastia,-1,-1
Lisbon,Rome,-1,-1
Manchester,Rome,2206672,83700
Naples,Rome,222650,4649
London,Novara,1397769,48600
Lisbon,Novara,-1,-1
Naples,Novara,804622,19589
London,Lyon,940737,20400
Lisbon,Lyon,2494591,104700
Marseille,Lyon,322010,6998
London,Lisbon,2949226,119580
Manchester,Lisbon,-1,-1
Marseille,Lisbon,2388881,100080
London,Dunfermline,664753,20580
London,Dunfermline,664753,20580
